delivery_date,loaded_vehicles
2021-02-02,1
2021-02-04,2
2021-02-05,3
2021-02-06,1
2021-02-09,4
2021-02-10,11
2021-02-11,14
2021-02-12,6
2021-02-13,14
2021-02-15,20
2021-02-16,10
2021-02-17,13
2021-02-18,18
2021-02-19,20
2021-02-20,25
2021-02-22,20
2021-02-23,23
2021-02-24,29
2021-02-25,42
2021-02-26,65
2021-02-27,11
2021-03-01,45
2021-03-02,56
2021-03-03,11
2021-03-05,15
2021-03-06,41
2021-03-08,42
2021-03-09,25
2021-03-10,47
2021-03-11,51
2021-03-12,55
2021-03-13,53
2021-03-15,43
2021-03-16,61
2021-03-17,81
2021-03-18,53
2021-03-20,79
2021-03-22,59
2021-03-24,77
2021-03-26,79
2021-03-27,80
2021-03-29,50
2021-03-30,77
2021-03-31,77
2021-04-01,60
2021-04-03,76
2021-04-05,62
2021-04-06,72
2021-04-07,74
2021-04-08,77
2021-04-09,75
2021-04-10,77
2021-04-12,53
2021-04-13,81
2021-04-14,79
2021-04-15,73
2021-04-16,79
2021-04-17,74
2021-04-19,58
2021-04-20,78
2021-04-22,83
2021-04-23,88
2021-04-24,74
2021-04-26,52
2021-04-27,82
2021-04-28,80
2021-04-29,88
2021-04-30,91
2021-05-01,1
2021-05-03,86
2021-05-04,89
2021-05-05,103
2021-05-06,95
2021-05-07,90
2021-05-08,89
2021-05-10,49
2021-05-11,110
2021-05-12,107
2021-05-13,95
2021-05-14,101
2021-05-15,81
2021-05-17,65
2021-05-18,107
2021-05-19,98
2021-05-20,97
2021-05-21,96
2021-05-22,86
2021-05-24,82
2021-05-25,105
2021-05-26,102
2021-05-27,114
2021-05-28,113
2021-05-29,103
2021-05-31,80
2021-06-01,118
2021-06-02,139
2021-06-03,113
2021-06-04,277
2021-06-05,252
2021-06-07,174
2021-06-08,224
2021-06-09,177
2021-06-10,275
2021-06-11,256
2021-06-12,169
2021-06-14,160
2021-06-15,168
2021-06-16,207
2021-06-17,288
2021-06-18,239
2021-06-19,214
2021-06-21,162
2021-06-29,1
2021-06-30,66
2021-07-01,32
2021-07-02,164
2021-07-03,159
2021-07-05,103
2021-07-06,170
2021-07-07,184
2021-07-08,192
2021-07-09,158
2021-07-10,156
2021-07-12,98
2021-07-13,288
2021-07-14,287
2021-07-15,302
2021-07-16,209
2021-07-17,226
2021-07-19,169
2021-07-20,272
2021-07-21,282
2021-07-22,261
2021-07-23,259
2021-07-24,227
2021-07-26,158
2021-07-27,291
2021-07-28,322
2021-07-29,293
2021-07-30,252
2021-07-31,261
2021-08-02,134
2021-08-03,260
2021-08-04,279
2021-08-05,313
2021-08-06,132
2021-08-18,1
2021-08-19,150
2021-08-20,241
2021-08-21,234
2021-08-23,172
2021-08-24,249
2021-08-25,288
2021-08-26,318
2021-08-27,281
2021-08-28,233
2021-08-30,152
2021-08-31,263
2021-09-01,274
2021-09-02,265
2021-09-03,270
2021-09-04,229
2021-09-06,92
2021-09-09,303
2021-09-10,286
2021-09-11,250
2021-09-13,121
2021-09-14,280
2021-09-15,271
2021-09-16,259
2021-09-17,242
2021-09-18,222
2021-09-20,149
2021-09-21,238
2021-09-22,256
2021-09-23,245
2021-09-24,230
2021-09-25,210
2021-09-27,154
2021-09-28,279
2021-09-29,268
2021-09-30,254
2021-10-01,250
2021-10-02,201
2021-10-04,120
2021-10-05,200
2021-10-06,201
2021-10-07,276
2021-10-08,276
2021-10-09,255
2021-10-11,197
2021-10-13,340
2021-10-14,301
2021-10-15,233
2021-10-16,245
2021-10-18,178
2021-10-19,284
2021-10-20,269
2021-10-21,286
2021-10-22,268
2021-10-23,243
2021-10-25,167
2021-10-26,295
2021-10-27,294
2021-10-28,277
2021-10-29,269
2021-10-30,242
2021-11-01,185
2021-11-03,322
2021-11-04,306
2021-11-05,322
2021-11-06,263
2021-11-08,182
2021-11-09,313
2021-11-10,326
2021-11-11,376
2021-11-12,371
2021-11-13,349
2021-11-16,243
2021-11-17,447
2021-11-18,389
2021-11-19,400
2021-11-20,347
2021-11-22,207
2021-11-23,364
2021-11-24,334
2021-11-25,370
2021-11-26,317
2021-11-27,328
2021-11-29,196
2021-11-30,339
2021-12-01,346
2021-12-02,356
2021-12-03,349
2021-12-04,315
2021-12-06,238
2021-12-07,366
2021-12-08,298
2021-12-09,358
2021-12-10,395
2021-12-11,346
2021-12-13,281
2021-12-14,385
2021-12-15,403
2021-12-16,391
2021-12-17,390
2021-12-18,337
2021-12-20,242
2021-12-21,394
2021-12-22,404
2021-12-23,390
2021-12-24,369
2021-12-27,263
2021-12-28,396
2021-12-29,405
2021-12-30,375
2021-12-31,295
2022-01-03,143
2022-01-04,306
2022-01-05,278
2022-01-06,332
2022-01-07,319
2022-01-08,285
2022-01-10,176
