delivery_date,loaded_vehicles
2022-12-12,2
2022-12-13,30
2022-12-14,25
2022-12-15,21
2022-12-16,29
2022-12-17,20
2022-12-19,26
2022-12-20,31
2022-12-21,36
2022-12-22,33
2022-12-23,28
2022-12-24,9
2022-12-26,20
2022-12-27,24
2022-12-28,26
2022-12-29,25
2022-12-30,16
2022-12-31,4
2023-01-02,10
2023-01-03,18
2023-01-04,25
2023-01-05,27
2023-01-06,34
2023-01-07,10
2023-01-09,18
2023-01-10,25
2023-01-11,20
2023-01-12,33
2023-01-13,27
2023-01-14,24
2023-01-16,15
2023-01-17,27
2023-01-18,27
2023-01-19,36
2023-01-20,25
2023-01-21,20
2023-01-23,27
2023-01-24,39
2023-01-25,29
2023-01-26,36
2023-01-27,21
2023-01-28,10
2023-01-30,18
2023-01-31,38
2023-02-01,51
2023-02-02,44
2023-02-03,29
2023-02-04,19
2023-02-06,45
2023-02-07,33
2023-02-08,33
2023-02-09,34
2023-02-10,28
2023-02-11,23
2023-02-12,1
2023-02-13,42
2023-02-14,52
2023-02-15,36
2023-02-16,104
2023-02-17,103
2023-02-18,54
2023-02-20,60
2023-02-22,108
2023-02-23,120
2023-02-24,101
2023-02-25,41
2023-02-27,89
2023-02-28,148
2023-03-01,132
2023-03-02,151
2023-03-03,159
2023-03-04,88
2023-03-06,85
2023-03-07,183
2023-03-08,173
2023-03-09,235
2023-03-10,193
2023-03-11,106
2023-03-13,119
2023-03-14,109
2023-03-15,154
2023-03-16,127
2023-03-17,121
2023-03-18,56
2023-03-20,80
2023-03-21,112
2023-03-22,89
2023-03-23,124
2023-03-24,106
2023-03-25,31
2023-03-27,86
2023-03-28,89
2023-03-29,95
2023-03-30,108
2023-03-31,108
2023-04-01,23
2023-04-03,90
2023-04-04,104
2023-04-05,103
2023-04-06,111
2023-04-07,3
2023-04-08,62
2023-04-10,85
2023-04-11,162
2023-04-12,206
2023-04-13,189
2023-04-14,206
2023-04-15,111
2023-04-17,126
2023-04-18,224
2023-04-19,226
2023-04-20,218
2023-04-21,16
2023-04-22,120
2023-04-24,173
2023-04-25,247
2023-04-26,264
2023-04-27,245
2023-04-28,215
2023-04-29,177
2023-05-02,90
2023-05-03,209
2023-05-04,263
2023-05-05,284
2023-05-06,180
2023-05-08,178
2023-05-09,372
2023-05-10,339
2023-05-11,273
2023-05-12,274
2023-05-13,137
2023-05-15,142
2023-05-16,264
2023-05-17,272
2023-05-18,290
2023-05-19,286
2023-05-20,128
2023-05-22,171
2023-05-23,295
2023-05-24,281
2023-05-25,289
2023-05-26,287
2023-05-27,155
2023-05-29,203
2023-05-30,262
2023-05-31,262
2023-06-01,260
2023-06-02,278
2023-06-03,131
2023-06-05,153
2023-06-06,252
2023-06-07,281
2023-06-08,125
2023-06-09,236
2023-06-10,149
2023-06-12,169
2023-06-13,264
2023-06-14,343
2023-06-15,288
2023-06-16,322
2023-06-17,121
2023-06-19,179
2023-06-20,294
2023-06-21,291
2023-06-22,306
2023-06-23,283
2023-06-24,121
2023-06-25,1
2023-06-26,225
2023-06-27,295
2023-06-28,304
2023-06-29,266
2023-06-30,310
2023-07-01,133
2023-07-03,156
2023-07-04,281
2023-07-05,304
2023-07-06,299
2023-07-07,292
2023-07-08,133
2023-07-10,189
2023-07-11,293
2023-07-12,307
2023-07-13,317
2023-07-14,306
2023-07-15,173
2023-07-17,194
2023-07-18,295
2023-07-19,306
2023-07-20,310
2023-07-21,264
2023-07-22,148
2023-07-24,187
2023-07-25,326
2023-07-26,284
2023-07-27,341
2023-07-28,358
2023-07-29,144
2023-07-31,218
2023-08-01,265
2023-08-02,303
2023-08-03,500
2023-08-04,434
2023-08-05,206
2023-08-07,234
2023-08-08,590
2023-08-09,718
2023-08-10,751
2023-08-11,770
2023-08-12,255
2023-08-14,421
2023-08-15,680
2023-08-16,718
2023-08-17,736
2023-08-18,742
2023-08-19,268
2023-08-21,468
2023-08-22,765
2023-08-23,895
2023-08-24,1030
2023-08-25,1021
2023-08-26,328
2023-08-28,611
2023-08-29,921
2023-08-30,982
2023-08-31,960
2023-09-01,855
2023-09-02,358
2023-09-04,609
2023-09-05,1012
2023-09-06,1074
2023-09-07,25
2023-09-08,794
2023-09-09,402
